bottle_text,consumed,purchased,score,year,importer,producer,country,region,size,wine_type,grapes,cost,store,location,notes
"The Rare Wine Co.
Historic Series
Madiera
Boston Bual",2/1/2013,10/1/2012,7.0,NV,The Rare Wine Company,Vinos Barbeito,Portugal,Madeira,750ml,Dessert,100% Bual,$35.00,McArthur Wines,"Palisades, DC",
"2008
The Prince In His Caves
Farina Vineyards",3/1/2013,2/20/2013,9.5,2008,,Scholium Project,USA,"Fairfield, CA",750ml,Orange,100% Sauvignon Blanc,$38.00,Mazzaros,"St. Petersburg, FL",Cloudy yellow-orange. No tasting notes. Skin-fermented.
"Getariako Txakolina
Ametzoi
Rubentis",4/20/2013,4/19/2013,7.5,2012,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$21.00,Cordial Wines,"Union Market, DC",Pink Txakoli is one of the best things in the whole world.
"Wetzer
2009
Nagy-Somloi borvidek
Saghegyi Olaszrizling",4/27/2013,3/1/2013,7.5,2009,Williams Corner Wine,Peter Wetzer,Hungary,"Sopron
Sag-Hegy",750ml,Orange,"60% Olaszrizling
40% Gemischter satz",$25.00,McArthur Wines,"Palisades, DC","Pale yellow-green. Hay and wax on the nose. Almost sweet on the tongue, though with acid balance and strong tannins."
"2011 Viognier
Horton",5/3/2013,3/1/2013,5.5,2011,,Horton,USA,"Orange County, VA",750ml,White,100% Viognier,$17.00,McArthur Wines,"Palisades, DC","Golden yellow. Honeysuckle. A bit too sweet, unstructured and thin. No comparison to the Jefferson Viognier."
Catavela,5/6/2013,4/27/2013,7.5,2010,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,100% Malvasia,$16.00,McArthur Wines,"Palisades, DC","Bright orange. Smells strongly of fruit, but the taste is unmistakably tart and funky. Strong tannins."
"Moscato D'Asti
Seghesio
2011",5/11/2013,3/1/2013,5.5,2011,Grappoli Imports LTD,Seghesio,Italy,Alba,750ml,Sparkling,100% Moscato,$20.00,Cork Wine Store,"Logan Circle, DC","Perhaps overly sweet. Stone fruit and some acidity, though not enough. Single-note."
Dinavolino,5/11/2013,4/27/2013,8.5,2010,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$21.00,McArthur Wines,"Palisades, DC","Bright orange. Funky, tart and tannic. "
"Paolo Scavino
Langhe
Bianco
2010",5/12/2013,10/1/2012,7.0,2010,Banville and Jones Wine Merchants,Paolo Scavino,Italy,Langhe,750ml,White,100% Sauvignon Blanc,$25.00,McArthur Wines,"Palisades, DC","Straw to almost light green color. Very sweet nose, but crisp and properly acidic."
"Getariako Txakolina
Ametzoi
Rubentis",5/17/2013,5/17/2013,7.5,2012,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$20.00,Cork Wine Store,"Logan Circle, DC",Bright pink. Tart and tangy. Slightly effervescent. Nicely dry.
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",5/20/2013,5/17/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC","Acceptably acidic. Reasonable fruit, clean and minerally finish."
"Commanderie de Peyrassol
Cotes de Provence
2012",5/22/2013,5/17/2013,7.5,2012,Rosenthal Wine Merchants,Commanderie de Peyrassol,France,Cotes de Provence,750ml,Pink,"Cinsault
Grenache
Syrah",$21.00,Cork Wine Store,"Logan Circle, DC","Grapefruit pink-red. Stouter than most roses. Dry, and flinty but with a tiny acidic kick."
"2010
Juan Gil
Jumilla",5/23/2013,9/1/2012,7.0,2010,The Country Vintner,Juan Gil,Spain,Jumilla,750ml,Red,100% Monastrell,$20.00,Cork Wine Store,"Logan Circle, DC",Always good. A little jammy but nothing that would make you think Cabernet. Enough earth to keep things reasonable.
"Getariako Txakolina
Ametzoi
Rubentis",5/24/2013,5/24/2013,7.5,2012,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$20.00,Cork Wine Store,"Logan Circle, DC",Just love this wine. Lucky to even get a bottle. Bubbles go with everything.
"2011
Viognier
Th. Jefferson",6/1/2013,5/8/2013,7.5,2011,,Jefferson Vineyards,USA,"Charlottesville, VA",750ml,White,100% Viognier,$25.00,Jefferson Vineyards,"Charlottesville, VA","Lots of hidden oil, like a muscadine grape. Still nicely acidic and plenty of fruit. Lychee, perhaps? Bright yellow-green."
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",6/2/2013,5/24/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC","Just a good, solid rose. Nothing too fancy, but totally drinkable."
"Occhipinti
SP68
Bianco
Sicilia 2011",6/11/2013,2/1/2013,8.0,2011,Louis/Dressner Selections,Ariana Occhipinti,Italy,Sicilia,750ml,White,"Albanello
Zibbibo",$25.00,Cork and Fork,"Logan Circle, DC",A little grass and mineral. Hay and tangy brine. Closer to a good fino sherry than one would admit. Plenty of tannins. Rich golden yellow.
"Fino
""La Garrocha""
Grant",6/15/2013,6/15/2013,8.0,2013,Maison Selections,Grant,Spain,Jerez de la Frontera,375ml,Sherry,100% Palomino Fino,$15.00,Cordial Wines,"Union Market, DC",Salty and just a touch funky. Crisp and clear.
"Manzanilla
La Cigarrera",6/16/2013,6/15/2013,8.0,2013,Maison Selections,La Cigarrera,Spain,Sanlucar De Barrameda,375ml,Sherry,100% Palomino Fino,$12.00,Cordial Wines,"Union Market, DC","Like seawater, it's so salty. Hay, wax; just wonderful. Best when chilled in the freezer to nearly slushy consistency."
"Falanghina dei Campi Flegrei
Grotta Del Sole",6/20/2013,5/24/2013,6.5,2011,Michael R. Downey Selections,Grotta Del Sole,Italy,Campagnia,750ml,White,100% Falanghina,$16.00,Cork Wine Store,"Logan Circle, DC",Clean and green. Vinous but still a little sweet. Definitely mineral and melon.
"Occhipinti
SP68
Nero D'Avola E Frappato
Sicilia 2011",7/1/2013,2/1/2013,8.0,2011,Louis/Dressner Selections,Ariana Occhipinti,Italy,Sicilia,750ml,Red,"Nero D'Avola
Frappato",$35.00,Cork and Fork,"Logan Circle, DC","One of my favorite reds. Spicy, full of fruit and punch. Low tannins, though with some lightweight earthiness."
"2011
Camin Larredya
Jurancon Sec",7/1/2013,5/17/2013,7.0,2011,Wine Traditions Limited,Camin Larredya,France,Jurancon,750ml,White,"65% Gros Manseng
30% Petite Manseng
5% Corbou",$21.00,Cork Wine Store,"Logan Circle, DC",I swear to God that this wine tastes like tea. In a good way.
"Getariako Txakolina
Ametzoi
Rubentis",7/1/2013,6/1/2013,7.5,2012,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$20.00,Cork Wine Store,"Logan Circle, DC",I like it every time I drink it.
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",7/1/2013,6/1/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC",What a totally acceptable rose for such a good price!
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",7/1/2013,6/1/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC",This wine literally got me through the summer here.
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",7/1/2013,6/1/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC",Don't ask. It was a long week.
"Arger-Martucci
Dulcinea
2006
California Late Harvest",8/1/2013,10/10/2010,8.0,2006,,Arger-Martucci,USA,"St. Helena, CA",375ml,Dessert,"90% Sauvignon Blanc
10% Semillon",$20.00,Arger-Martucci Winery,"St. Helena, CA","Immediately very sweet, but follows with an intense and bracing acidity."
"Azienda Agricola
COS",8/1/2013,2/1/2013,7.5,2011,Domaine Select Wine Estates,COS,Italy,Sicilia,750ml,Red,100% Frappato,$30.00,McArthur Wines,"Palisades, DC",
"2011
Vigneto Tsasco
Rossese
Punta Crena",8/1/2013,4/27/2013,7.5,2011,Kermit Lynch,Punta Crena,Italy,Liguria,750ml,Red,100% Rossese,$15.00,McArthur Wines,"Palisades, DC",Fruitier than expected and a touch sweet. Ruby red and clear. Some very light tannins.
"Occhipinti
SP68
Nero D'Avola E Frappato
Sicilia 2012",8/1/2013,7/1/2013,8.0,2012,Louis/Dressner Selections,Ariana Occhipinti,Italy,Sicilia,750ml,Red,"Nero D'Avola
Frappato",$39.00,Cork and Fork,"Logan Circle, DC","Fruity and dry, but with tons of grippy tannins and spicy backbone."
Dinavolino,8/1/2013,8/1/2013,8.5,2012,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$21.00,McArthur Wines,"Palisades, DC",I am probably unhealthfully addicted to this wine.
Dinavolino,8/8/2013,8/1/2013,8.5,2012,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$21.00,McArthur Wines,"Palisades, DC",Bought by Lee Logan. I would fight and kill a man for a bottle of this wine.
"Galea
Schiava
2011
Sudtirol Alto Adige",8/10/2013,4/27/2013,7.0,2011,The Country Vintner,Nals Margreid,Italy,Trentino-Alto Adige/Sudtirol,750ml,Red,100% Schiava,$17.00,McArthur Wines,"Palisades, DC",A little funk and fruit. A touch unfocused. Ruby red and slightly cloudy.
"Elena Walch
Lagrein
Alto Adige",8/10/2013,4/27/2013,7.5,2011,The Country Vintner,Elena Walch,Italy,Trentino-Alto Adige/Sudtirol,750ml,Red,100% Lagrein,$15.00,McArthur Wines,"Palisades, DC",Lots of great fruit. Tight tannins. Balance and only a little funky.
"Manzanilla
La Cigarrera",8/15/2013,8/1/2013,8.0,2013,Maison Selections,La Cigarrera,Spain,Sanlucar De Barrameda,375ml,Sherry,100% Palomino Fino,$12.00,Cordial Wines,"Union Market, DC","Served cold from the freezer, almost slushy. Dear God, it's the best thing ever."
"Villa d'
Orvieto",8/20/2013,8/1/2013,5.0,2010,Siema Wines,Villa d',Italy,Orvieto,750ml,White,"Grechetto
Trebbiano
Malvasia",$7.00,A Litteri Italian Market,"Union Market, DC","Overly sweet. Thin, little depth."
"Arger-Martucci
Dulcinea
2006
California Late Harvest",8/25/2013,10/10/2010,9.0,2006,,Arger-Martucci,USA,"St. Helena, CA",375ml,Dessert,"90% Sauvignon Blanc
10% Semillon",$20.00,Arger-Martucci Winery,"St. Helena, CA","Heavenly. Balanced acidity; precious, wonderful fruit."
"Dal Maso
Tai Rosso
Colli Berici",8/25/2013,8/1/2013,7.5,2012,Michael R. Downey Selections,Dal Maso,Italy,Veneto,750ml,Red,100% Tai Rosso,$15.00,Cork Wine Store,"Logan Circle, DC","Practically rose, it's such a light red. Fruity but dry, with a little bit more mineral than you'd expect. Basically a Beaujolais."
"Bastianich
Rosato di Refosco",8/25/2013,8/23/2013,7.5,2013,Dark Star Imports,Bastianich,Italy,Friuli,750ml,Pink,100% Refosco,$16.00,Eataly Wine Store,"Flatiron, NYC","Aggressively pink; not pale and coppery like French rose. Sweeter than I like, but not without some dryness. Berries and some acid."
"Friuliano Adriatico
Bastianich",8/25/2013,8/23/2013,7.5,2012,Dark Star Imports,Bastianich,Italy,"Colli Orientalli, Friuli",750ml,White,100% Friuliano,$16.00,Eataly Wine Store,"Flatiron, NYC",Yellow-green and clear. Oily and vinous but still clean and with plenty of fruit.
"2010
Juan Gil
Jumilla",8/30/2013,9/1/2012,1.0,2010,The Country Vintner,Juan Gil,Spain,Jumilla,750ml,Red,100% Monastrell,$20.00,Cork Wine Store,"Logan Circle, DC",Corked!
"Moulin de Gassac
Guilhem
2011
Pays D'Herault",9/4/2013,9/1/2013,7.0,2011,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,White,"40% Grenache blanc
30% Sauvignon blanc
30% Clairette",$10.00,Cork Wine Store,"Logan Circle, DC","Light yellow-green. Clear. Fruit, vines, grass. Not too sweet."
"2009
Seccal
Valpolicella
Ripasso",9/16/2013,9/12/2013,7.5,2009,Grappoli Imports,Nicolis,Italy,Veneto,750ml,Red,"70% Corvina
20% Rondinella
5% Molinara
5% Croatina",$20.00,Cork Wine Store,"Logan Circle, DC","Ruby red, almost brick red. Some fruit but tons of good tannins and dry earth. Almost mossy."
"Alexandro
Amontillado",9/17/2013,9/15/2013,8.0,2013,Tradewinds Specialty Imports,Alexandro,Spain,Jerez de la Frontera,750ml,Sherry,100% Palomino Fino,$21.00,Batch 13 Spirits,"Logan Circle, DC","Brown to amber and clear. Nutty, salty and dry as a bone. Less hay and wax than a manzanilla, but much more of the roasted nut flavor."
"Dal Maso
Tai Rosso
Colli Berici",9/20/2013,8/1/2013,6.5,2012,Michael R. Downey Selections,Dal Maso,Italy,Veneto,750ml,Red,100% Tai Rosso,$15.00,Cork Wine Store,"Logan Circle, DC","Such a lightweight red, it's basically a rose."
"Alea Viva
Occhipinti",9/20/2013,8/23/2013,7.0,2011,Jan D'Amore Wines,Andrea Occhipinti,Italy,"Gradoli, Lazio",750ml,Red,100% Aleatico,$18.00,Eataly Wine Store,"Flatiron, NYC","Ruby red and clear. Almost oily flavor, like a red Friuliano? Some fruit and few tannins."
"Alexandro
Manzanilla",9/20/2013,8/24/2013,7.0,2013,Tradewinds Specialty Imports,Alexandro,Spain,Jerez de la Frontera,750ml,Sherry,100% Palomino Fino,$18.00,Batch 13 Spirits,"Logan Circle, DC","Hay yellow and clear. Waxy, dry and salty like a sea breeze. A touch nutty at the end. Just wonderful."
"Pheasant's Tears
Rkatsitelli
Kakheti
2009",9/23/2013,9/22/2013,7.5,2009,Terrell Wines,Pheasant's Tears,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$16.00,Batch 13 Spirits,"Logan Circle, DC",Cloudy orange-to-amber. Immediate barnyard smell. First taste is acid and astringency blending into a bit of sweet fruit before finishing very dry. All kinds of fruit skins and a bolt of sourness.
"Mosel
Riesling
Winegut
St. Urbans-Hof",9/25/2013,9/25/2013,6.0,2012,HB Wine Merchants,St. Urbans-Hof,Germany,Mosel,750ml,White,100% Riesling,$16.00,Whole Foods,"Logan Circle, DC","Clear light yellow. Sweet and a bit oily. Good acid, though. Short finish."
"Ageno
2008
La Stoppa",10/10/2013,8/23/2013,9.5,2008,LDM Wines,La Stoppa,Italy,Emilia Romania,750ml,Orange,"33% Malvasia di Candida
33% Ortrugo
33% Trebbiano",$40.00,Eataly Wine Store,"Flatiron, NYC",Clear amber-orange. Laser focused tannins. Smell of stone fruit. Bone-dry and phenomenally tasty. Nothing like it. Like Dinavolino only superior in every way.
"Vinoterra
2011
Rkatsiteli",10/10/2013,9/26/2013,7.0,2011,Georgian House of Greater Washington,Vinoterra,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$15.00,Batch 13 Spirits,"Logan Circle, DC","A little thin. Tannins light, some fruit. Nicely dry but could be better."
"Tami
Nero D'Avola
2011",10/18/2013,10/12/2013,6.5,2011,Louis/Dressner Selections,Tami,Italy,Sicilia,750ml,Red,100% Nero D'Avola,$16.00,Cork Wine Store,"Logan Circle, DC","Perfectly acceptable, but reminds me of SP68 and that is not a good comparison for this wine."
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",10/25/2013,9/22/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,White,"40% Grenache blanc
30% Sauvignon blanc
30% Clairette",$10.00,Cork Wine Store,"Logan Circle, DC",Completely drinkable white. Regrettably simple but otherwise nothing wrong with it.
"2010 Rikatsitelli
""Our Wine""
Vineyard Akhoebi",10/27/2013,9/22/2013,8.0,2010,Terrell Wines,Our Wine,Georgia,Kakheti,750ml,Orange,"90% Rkatsiteli
6% Mtsvane
4% Khikhvi",$22.00,Batch 13 Spirits,"Logan Circle, DC","Medium-cloudy orange. Funky smell, battery-acid tang on first taste but next is earth and some light fruit. Gripping tannins. Lovely."
"Verdicchio
dei
Castelli di Jesi",10/30/2013,9/22/2013,5.5,2012,Grappoli Imports,Garofoli,Italy,Marche,750ml,White,100% Verdicchio,$13.00,Cork Wine Store,"Logan Circle, DC",Thin. White. Liquid.
"Colombaia
Bianco Toscano IGT",11/1/2013,8/23/2013,7.5,2011,Jenny & Francois Selections,Colombaia,Italy,Toscano,750ml,Orange,"50% Trebbiano
50% Malvasia",$21.00,Eataly Wine Store,"Flatiron, NYC","Very pale, coppery orange. Clear, crisp flavor; only barely tannic."
"FIno En Rama
2006
Alvear",11/5/2013,10/12/2013,7.0,2006,The Country Vintner,Alvear,Spain,Montilla Morilles,500ml,Sherry,100% Pedro Ximenez,$16.00,Arrowine and Spirits,"Foggy Bottom, DC",Not a particularly good example of an En Rama fino. A little salt. A little tang. Expected more of everything.
"Moulin de Gassac
Guilhem
2012
Pays D'Herault",11/10/2013,10/31/2013,7.0,2012,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,White,"40% Grenache blanc
30% Sauvignon blanc
30% Clairette",$10.00,Cork Wine Store,"Logan Circle, DC",A light and fruity but perfectly drinkable white wine.
Quattro Mani,11/15/2013,10/31/2013,6.5,2010,Domaine Select Wine Estates,Movia,Slovenia,Dobrovo,750ml,White,100% Tocai,$15.00,Cork Wine Store,"Logan Circle, DC",Friuliano is a wonderful grape. Lots of stone fruit and peaches and pears. Even some tropical flavors? A little oil and lack of length are the only downsides.
"Occhipinti
SP68
Nero D'Avola E Frappato
Sicilia 2012",11/20/2013,10/26/2013,8.5,2012,Louis/Dressner Selections,Ariana Occhipinti,Italy,Sicilia,750ml,Red,"Nero D'Avola
Frappato",$30.00,Batch 13 Spirits,"Logan Circle, DC","Consumed with a marvelous skirt steak. Bombastic fruit, earthy tannins and tons of length. This wine was made for good food."
"Pheasant's Tears
Rkatsitelli
Kakheti
2009",11/26/2013,10/26/2013,7.5,2009,Terrell Wines,Pheasant's Tears,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$16.00,Batch 13 Spirits,"Logan Circle, DC",Funky but controlled. Hay and barnyard and black tea leaves.
"Verdicchio
dei
Castelli di Jesi",11/30/2013,10/31/2013,5.5,2012,Grappoli Imports,Garofoli,Italy,Marche,750ml,White,100% Verdicchio,$13.00,Cork Wine Store,"Logan Circle, DC",Sent with Becky to book club. Good riddance.
"Schramsberg
Blanc de Noirs
Brut",1/1/2014,10/1/2012,8.0,2008,,Schramsberg,USA,"Calistoga, CA",750ml,Sparkling,100% Pinot Noir,$25.00,Trader Joe's,"Foggy Bottom, DC",Tiny irrepressible bubbles. Yeasty and dry. Basically the only champagne I can drink.
"Vinoterra
2011
Kisi",1/3/2014,12/1/2013,6.5,2011,Georgian House of Greater Washington,Vinoterra,Georgia,Kakheti,750ml,Orange,100% Kisi,$17.00,Batch 13 Spirits,"Logan Circle, DC","Very tannic; golden and deep. Some good barnyard funk; could use some more fruit, frankly."
"2010
Seccal
Valpolicella
Ripasso",1/4/2014,1/4/2014,7.5,2010,Grappoli Imports,Nicolis,Italy,Veneto,750ml,Red,"70% Corvina
20% Rondinella
5% Molinara
5% Croatina",$22.00,Cork Wine Store,"Logan Circle, DC",Like a baby Amarone.
"Lopez de Heredia
Rioja
2003
Vina Bosconia",1/4/2014,11/5/2014,7.5,2003,Think Global Wines,Lopez de Heredia,Spain,Rioja,750ml,Red,"80% Tempranillo
15% Garnacha
3% Mazuelo
2% Graciano",$40.00,Arrowine and Spirits,"Foggy Bottom, DC",Probably too much fruit and dirt for us? It's nothing like an Amarone or a ripasso-style Valpolicella. It's okay but not in my weheelhouse.
"2007
Sweet Claire
California Riesling
Late Harvest",1/10/2014,10/8/2010,6.5,2007,,Praeger,USA,"St. Helena, CA",375ml,Dessert,100% Riesling,$25.00,Praeger Port Works,"St. Helena, CA",Not bad. But literally nothing like Dulcinea or Baccadoro.
"2010 Rikatsitelli
""Our Wine""
Vineyard Akhoebi",1/12/2014,12/18/2013,8.0,2010,Terrell Wines,Our Wine,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$22.00,Batch 13 Spirits,"Logan Circle, DC",I like this wine more every time I taste it. So much barnyard and such grippy tannins. La Stoppa wines have more fruit. And Denavolo are tangier. But nothing has this much intensity and length.
Baccadoro,1/14/2014,6/13/2010,9.5,2007,Admiralty Beverage Co.,Fondo Antico,Italy,Sicilia,500ml,Dessert,"Grillo
Moscato",$15.00,Liner & Elsen,"Portland, OR","So good. Fruit but also tea and candle wax. Long and complex finish, turning to a duskier caramel by the end."
"Occhipinti
SP68
Bianco
Sicilia 2012",1/18/2014,1/18/2014,7.0,2012,Louis/Dressner Selections,Ariana Occhipinti,Italy,Sicilia,750ml,White,"Albanello
Zibbibo",$29.00,Batch 13 Spirits,"Logan Circle, DC","Golden yellow. Oily, fruity. Almost no tannins in this mixture. Would have misidentified this as a new world Sauvignon Blanc. I like the 2011 version better."
